YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/nLw8J2S2WBw"", ""Link"")",nLw8J2S2WBw,Casey the alien invades PC,0:04:57,GH,01/01/1990,A,,1,1,generalhospitalexposed
"=HYPERLINK(""https://youtu.be/JZAl7gHfsGQ"", ""Link"")",JZAl7gHfsGQ,Tony Geary Returns as Bill Eckert,0:11:37,GH,01/01/1991,A,,1,1,soonermark1
"=HYPERLINK(""https://youtu.be/jt4h-toR-iM"", ""Link"")",jt4h-toR-iM,Episode,0:59:11,GH,1/1/1991,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/uRp9MlQu0Fo"", ""Link"")",uRp9MlQu0Fo,Promo,0:00:31,GH,1/1/1991,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/6knCOwYkwws"", ""Link"")",6knCOwYkwws,Episode,0:32:34,GH,6/1/1991,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/iDFHnXWoKc4"", ""Link"")",iDFHnXWoKc4,Episode - Bobbie and Tony Re-Connect,0:42:25,GH,06/24/1991,A,,1,1,ilovesoaps
"=HYPERLINK(""https://youtu.be/W1g3ZNYVK8w"", ""Link"")",W1g3ZNYVK8w,Episode,0:58:24,GH,11/1/1991,A,,1,1,cfs89
"=HYPERLINK(""https://youtu.be/GT-IT0n2mrM"", ""Link"")",GT-IT0n2mrM,Tobey Maguire On General Hospital,0:02:04,GH,01/01/1992,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/PH8l5n3MDFM"", ""Link"")",PH8l5n3MDFM,Jeremy Davies on General Hospital,0:02:29,GH,6/1/1992,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/RFHaD08qgTk"", ""Link"")",RFHaD08qgTk,'New' Opening-1993,0:00:43,GH,01/01/1993,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/gnNNN6iMQeo"", ""Link"")",gnNNN6iMQeo,Opening(Better Quality) Debut,0:01:09,GH,04/01/1993,B,,1,1,carmaker1
"=HYPERLINK(""https://youtu.be/P0glxWyz4hA"", ""Link"")",P0glxWyz4hA,New Closing Theme,0:01:18,GH,04/01/1993,B,,1,1,carmaker1
"=HYPERLINK(""https://youtu.be/7yiW5G8Rvuw"", ""Link"")",7yiW5G8Rvuw,Faces of the Heart Open Debut,0:00:58,GH,04/01/1993,A,,1,1,carmaker1
"=HYPERLINK(""https://youtu.be/7IjsmOrwYAk"", ""Link"")",7IjsmOrwYAk,30th Anniversary Episode,0:09:54,GH,04/01/1993,A,P_d85d2e54,1,5,carmaker1
