link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/eZmOknmpqwQ"", ""Link"")",Promo-January 2000,00:22,OLTL,01/01/2000,B,,1,1,carmaker1
"=HYPERLINK(""https://youtu.be/GjaMbEpT9-s"", ""Link"")",Viki's Cancer Story - Viki Reveals Her Illness to Asa,06:10,OLTL,01/01/2000,A,,1,1,esarchive
"=HYPERLINK(""https://youtu.be/uOG7spVo6kc"", ""Link"")",Viki's Cancer Story - Ben Surprises Viki in the Hospital,4:34,OLTL,01/01/2000,A,,1,1,esarchive
"=HYPERLINK(""https://youtu.be/3lGO94SPSdw"", ""Link"")",Viki's Cancer Story -  Viki Starts to Lose Her Hair,09:19,OLTL,01/01/2000,A,,1,1,esarchive
"=HYPERLINK(""https://youtu.be/n1EOnAilwJw"", ""Link"")",Viki's Cancer Story - Viki Has a Bad Reaction to Chemo,05:28,OLTL,01/01/2000,A,,1,1,esarchive
"=HYPERLINK(""https://youtu.be/7F3Drf-oQi0"", ""Link"")",Ben and Viki - First Time After Surgery,09:01,OLTL,01/01/2000,A,,1,1,esarchive
"=HYPERLINK(""https://youtu.be/PCMu8X3Hwzk"", ""Link"")",Viki and Ben - Ben's Anger,05:19,OLTL,01/01/2000,A,,1,1,esarchive
"=HYPERLINK(""https://youtu.be/iMjLf4HzLLQ"", ""Link"")",Viki and Ben Argue,04:19,OLTL,01/01/2000,A,,1,1,esarchive
"=HYPERLINK(""https://youtu.be/h-jvBcIDldQ"", ""Link"")",Viki and Ben The Attic II,10:00,OLTL,01/01/2000,A,,1,1,esarchive
"=HYPERLINK(""https://youtu.be/3nvJ8RmdAuQ"", ""Link"")",Viki and Ben - Ben Returns From Florida,04:49,OLTL,01/01/2000,A,,1,1,esarchive
"=HYPERLINK(""https://youtu.be/auXcQaYjViI"", ""Link"")",Viki and Ben Florida,09:31,OLTL,01/01/2000,A,,1,1,esarchive
"=HYPERLINK(""https://youtu.be/0wBUSR9uRAE"", ""Link"")",Viki Gives Skye Hell,06:48,OLTL,01/01/2000,A,,1,1,esarchive
